Results for track_01.txt:
Iteration 26: Moves: 43, Runtime: 2672.85ms
Iteration 27: Moves: 43, Runtime: 2944.21ms
Iteration 28: Moves: 43, Runtime: 2689.88ms
Iteration 29: Moves: 43, Runtime: 2646.80ms
Iteration 30: Moves: 43, Runtime: 2698.43ms
Iteration 31: Moves: 43, Runtime: 2649.92ms
Iteration 32: Moves: 43, Runtime: 2704.51ms
Iteration 33: Moves: 43, Runtime: 2750.19ms
Iteration 34: Moves: 43, Runtime: 2662.42ms
Iteration 35: Moves: 43, Runtime: 2919.62ms
Iteration 36: Moves: 43, Runtime: 2646.36ms
Iteration 37: Moves: 43, Runtime: 2672.99ms
Iteration 38: Moves: 43, Runtime: 3157.83ms
Iteration 39: Moves: 43, Runtime: 2683.25ms
Iteration 40: Moves: 43, Runtime: 2685.76ms
Iteration 41: Moves: 43, Runtime: 2908.32ms
Iteration 42: Moves: 43, Runtime: 2729.20ms
Iteration 43: Moves: 43, Runtime: 2672.90ms
Iteration 44: Moves: 43, Runtime: 2658.57ms
Iteration 45: Moves: 43, Runtime: 2652.08ms
Iteration 46: Moves: 43, Runtime: 2886.49ms
Iteration 47: Moves: 43, Runtime: 2655.95ms
Iteration 48: Moves: 43, Runtime: 2859.19ms
Iteration 49: Moves: 43, Runtime: 2805.05ms
Iteration 50: Moves: 43, Runtime: 2699.31ms
Best Moves: 43 moves
Average Moves: 43.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 2633.27ms
Average Runtime: 2729.86ms
Deviation Runtime: 106.92ms

Results for track_09.txt:
Iteration 1: Moves: 39, Runtime: 2758.79ms
Iteration 2: Moves: 39, Runtime: 2844.23ms
Iteration 3: Moves: 39, Runtime: 3156.08ms
Iteration 4: Moves: 39, Runtime: 2772.75ms
Iteration 5: Moves: 39, Runtime: 2989.36ms
Iteration 6: Moves: 39, Runtime: 2785.71ms
Iteration 7: Moves: 39, Runtime: 3062.94ms
Iteration 8: Moves: 39, Runtime: 2738.55ms
Iteration 9: Moves: 39, Runtime: 3046.63ms
Iteration 10: Moves: 39, Runtime: 2766.44ms
Iteration 11: Moves: 39, Runtime: 3112.70ms
Iteration 12: Moves: 39, Runtime: 2737.07ms
Iteration 13: Moves: 39, Runtime: 2750.99ms
Iteration 14: Moves: 39, Runtime: 2748.07ms
Iteration 15: Moves: 39, Runtime: 2757.80ms
Iteration 16: Moves: 39, Runtime: 2727.46ms
Iteration 17: Moves: 39, Runtime: 2740.11ms
Iteration 18: Moves: 39, Runtime: 2703.20ms
Iteration 19: Moves: 39, Runtime: 2780.18ms
Iteration 20: Moves: 39, Runtime: 3087.18ms
Iteration 21: Moves: 39, Runtime: 2766.63ms
Iteration 22: Moves: 39, Runtime: 3022.21ms
Iteration 23: Moves: 39, Runtime: 2794.23ms
Iteration 24: Moves: 39, Runtime: 2837.06ms
Iteration 25: Moves: 39, Runtime: 2736.69ms
Iteration 26: Moves: 39, Runtime: 2813.79ms
Iteration 27: Moves: 39, Runtime: 2714.96ms
Iteration 28: Moves: 39, Runtime: 2717.35ms
Iteration 29: Moves: 39, Runtime: 2741.06ms
Iteration 30: Moves: 39, Runtime: 3083.79ms
Iteration 31: Moves: 39, Runtime: 2737.03ms
Iteration 32: Moves: 39, Runtime: 2794.61ms
Iteration 33: Moves: 39, Runtime: 2737.86ms
Iteration 34: Moves: 39, Runtime: 2746.02ms
Iteration 35: Moves: 39, Runtime: 2736.34ms
Iteration 36: Moves: 39, Runtime: 3108.36ms
Iteration 37: Moves: 39, Runtime: 2731.99ms
Iteration 38: Moves: 39, Runtime: 2845.71ms
Iteration 39: Moves: 39, Runtime: 2743.74ms
Iteration 40: Moves: 39, Runtime: 2721.37ms
Iteration 41: Moves: 39, Runtime: 2740.95ms
Iteration 42: Moves: 39, Runtime: 2745.06ms
Iteration 43: Moves: 39, Runtime: 3110.37ms
Iteration 44: Moves: 39, Runtime: 2724.75ms
Iteration 45: Moves: 39, Runtime: 3102.37ms
Iteration 46: Moves: 39, Runtime: 2726.07ms
Iteration 47: Moves: 39, Runtime: 3178.91ms
Iteration 48: Moves: 39, Runtime: 2755.18ms
Iteration 49: Moves: 39, Runtime: 2736.23ms
Iteration 50: Moves: 39, Runtime: 2840.48ms
Best Moves: 39 moves
Average Moves: 39.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 2703.20ms
Average Runtime: 2837.15ms
Deviation Runtime: 146.94ms

Results for track_10.txt:
Iteration 1: Moves: 35, Runtime: 2287.47ms
Iteration 2: Moves: 35, Runtime: 2084.70ms
Iteration 3: Moves: 35, Runtime: 2090.85ms
Iteration 4: Moves: 35, Runtime: 2131.24ms
Iteration 5: Moves: 35, Runtime: 2116.51ms
Iteration 6: Moves: 35, Runtime: 2111.77ms
Iteration 7: Moves: 35, Runtime: 2121.45ms
Iteration 8: Moves: 35, Runtime: 2139.57ms
Iteration 9: Moves: 35, Runtime: 2136.89ms
Iteration 10: Moves: 35, Runtime: 2112.46ms
Iteration 11: Moves: 35, Runtime: 2092.89ms
Iteration 12: Moves: 35, Runtime: 2085.35ms
Iteration 13: Moves: 35, Runtime: 2100.89ms
Iteration 14: Moves: 35, Runtime: 2076.94ms
Iteration 15: Moves: 35, Runtime: 2078.83ms
Iteration 16: Moves: 35, Runtime: 2098.20ms
Iteration 17: Moves: 35, Runtime: 2086.90ms
Iteration 18: Moves: 35, Runtime: 2243.86ms
Iteration 19: Moves: 35, Runtime: 2244.47ms
Iteration 20: Moves: 35, Runtime: 2114.43ms
Iteration 21: Moves: 35, Runtime: 2079.52ms
Iteration 22: Moves: 35, Runtime: 2184.66ms
Iteration 23: Moves: 35, Runtime: 2102.75ms
Iteration 24: Moves: 35, Runtime: 2315.53ms
Iteration 25: Moves: 35, Runtime: 2168.09ms
Iteration 26: Moves: 35, Runtime: 2163.17ms
Iteration 27: Moves: 35, Runtime: 2102.44ms
Iteration 28: Moves: 35, Runtime: 2177.36ms
Iteration 29: Moves: 35, Runtime: 2165.52ms
Iteration 30: Moves: 35, Runtime: 2122.42ms
Iteration 31: Moves: 35, Runtime: 2057.09ms
Iteration 32: Moves: 35, Runtime: 2111.54ms
Iteration 33: Moves: 35, Runtime: 2108.35ms
Iteration 34: Moves: 35, Runtime: 2106.16ms
Iteration 35: Moves: 35, Runtime: 2123.50ms
Iteration 36: Moves: 35, Runtime: 2104.67ms
